,name,year,selling_price,km_driven,fuel,seller_type,transmission,owner,mileage,engine,max_power,seats,torque_nm,max_torque_rpm
1245,Hyundai EON D Lite Plus Option,2016,220000,100000,Petrol,Individual,Manual,First Owner,21.1,814,55.2,5,74.5,4000.0
1246,Tata Indica Vista Quadrajet LS,2013,120000,120000,Diesel,Individual,Manual,First Owner,22.3,1248,74.0,5,190.0,1750.0
1247,Hyundai i20 Asta Optional With Sunroof 1.2,2010,220000,90000,Petrol,Individual,Manual,Fourth & Above Owner,17.0,1197,80.0,5,111.79581,4000.0
1248,Chevrolet Sail Hatchback LS ABS,2013,420000,46815,Diesel,Individual,Manual,Second Owner,22.1,1248,76.9,5,205.0,1750.0
1249,Hyundai EON Era Plus,2015,250000,80000,Petrol,Individual,Manual,First Owner,21.1,814,55.2,5,74.5,4000.0
1250,Maruti Ertiga ZDI,2013,385000,100000,Diesel,Individual,Manual,Third Owner,20.77,1248,88.8,7,200.0,1750.0
1251,Maruti Wagon R VXI BS IV with ABS,2014,318000,80000,Petrol,Individual,Manual,First Owner,20.51,998,67.06,5,90.0,3500.0
1252,Maruti Celerio VXI,2015,330000,70000,Petrol,Individual,Manual,Third Owner,23.1,998,67.04,5,90.0,3500.0
1253,Tata Indica Vista Aqua 1.4 TDI,2011,152000,80000,Diesel,Individual,Manual,First Owner,17.0,1405,71.0,5,135.0,2500.0
1254,Maruti Alto 800 LXI,2014,250000,40000,Petrol,Individual,Manual,First Owner,22.74,796,47.3,5,69.0,3500.0
1255,Nissan Micra XV,2011,300000,60000,Petrol,Individual,Manual,Second Owner,18.06,1198,75.0,5,104.0,4000.0
1256,Hyundai i20 1.2 Spotz,2017,550000,50000,Petrol,Individual,Manual,First Owner,18.6,1197,81.83,5,114.7,4000.0
1257,Hyundai i20 Sportz 1.4 CRDi,2016,650000,30000,Diesel,Individual,Manual,First Owner,22.54,1396,88.73,5,219.7,1500.0
1258,Hyundai Grand i10 Magna,2017,445000,25000,Petrol,Individual,Manual,First Owner,18.9,1197,82.0,5,114.0,4000.0
1259,Toyota Innova 2.5 V Diesel 7-seater,2010,450000,334000,Diesel,Individual,Manual,First Owner,12.8,2494,102.0,7,200.05565999999996,1400.0
1260,Mahindra NuvoSport N8,2016,600000,100000,Diesel,Individual,Manual,First Owner,17.45,1493,100.0,7,240.0,1600.0
1261,Renault Duster Adventure Edition,2014,495000,175000,Diesel,Individual,Manual,First Owner,19.01,1461,108.45,5,248.0,2250.0
1262,Maruti SX4 ZXI AT,2011,220000,65000,Petrol,Individual,Automatic,Third Owner,12.6,1586,103.3,5,145.0,4100.0
1263,Hyundai Santro Xing GLS,2009,150000,90000,Petrol,Individual,Manual,First Owner,17.92,1086,62.1,5,96.1,3000.0
1264,Ford Figo Diesel Titanium,2011,200000,80000,Diesel,Individual,Manual,Second Owner,20.0,1399,68.0,5,160.0,2000.0
1265,Mahindra Scorpio S11 BSIV,2018,1465000,110000,Diesel,Individual,Manual,First Owner,16.36,2179,140.0,7,320.0,1500.0
1266,Toyota Etios Liva GD,2012,285000,80000,Diesel,Individual,Manual,Second Owner,19.369999999999997,1248,81.86,5,160.0,2000.0
1267,Honda Civic Hybrid,2008,250000,60000,Petrol,Individual,Automatic,Third Owner,20.0,1339,108.5,5,123.0,1000.0
1268,Mahindra Scorpio VLX 4WD AIRBAG AT BSIV,2010,600000,100875,Diesel,Individual,Automatic,First Owner,11.79,2179,120.0,8,290.0,1800.0
1269,Maruti Swift Dzire VXI,2016,500000,30000,Petrol,Individual,Manual,First Owner,20.85,1197,83.14,5,115.0,4000.0
1270,Hyundai Grand i10 CRDi Asta Option,2013,270000,118000,Diesel,Individual,Manual,First Owner,24.0,1120,70.0,5,160.0,1500.0
1271,Hyundai Verna 1.6 SX,2013,420000,69000,Diesel,Individual,Manual,Third Owner,22.32,1582,126.32,5,259.8,1900.0
1272,Maruti Swift Dzire LXI,2015,434999,25000,Petrol,Individual,Manual,Second Owner,20.85,1197,83.14,5,115.0,4000.0
1273,Hyundai Xcent 1.2 Kappa AT S Option,2015,400000,100000,Petrol,Individual,Automatic,First Owner,16.9,1197,81.86,5,113.75,4000.0
1274,Maruti Swift Dzire VDI,2015,470000,110000,Diesel,Individual,Manual,First Owner,26.59,1248,74.0,5,190.0,2000.0
1275,Nissan Terrano XL 85 PS,2015,480000,60000,Diesel,Individual,Manual,Third Owner,20.45,1461,83.8,5,200.0,1900.0
1276,Hyundai Santro Xing GL,2008,105000,128000,Petrol,Individual,Manual,First Owner,0.0,1086,62.0,5,96.1,3000.0
1277,Tata Tiago 1.05 Revotorq XE,2017,325000,120000,Diesel,Individual,Manual,First Owner,27.28,1047,69.0,5,140.0,1800.0
1278,Hyundai Grand i10 Nios AMT Sportz,2020,675000,5000,Petrol,Individual,Automatic,First Owner,20.7,1197,81.86,5,113.75,4000.0
1279,Hyundai i10 Sportz Option,2009,170000,90000,Petrol,Individual,Manual,Second Owner,20.36,1197,78.9,5,111.8,4000.0
1280,Hyundai Creta 1.6 CRDi SX Option,2017,1250000,90000,Diesel,Individual,Manual,First Owner,19.67,1582,126.2,5,259.9,1900.0
1281,Honda Accord 2.4 M/T,2012,600000,144030,Petrol,Individual,Manual,First Owner,12.8,2354,177.6,5,222.0,4300.0
1282,Honda City i DTEC VX,2014,819999,200000,Diesel,Individual,Manual,First Owner,25.1,1498,98.6,5,200.0,1750.0
1283,Hyundai i20 2015-2017 Asta Option 1.2,2016,650000,29000,Petrol,Individual,Manual,First Owner,18.6,1197,81.83,5,114.7,4000.0
1284,Maruti Wagon R LXI DUO BSIII,2007,105000,90000,LPG,Individual,Manual,Second Owner,17.3,1061,57.5,5,76.49186999999999,4500.0
1285,Mahindra Renault Logan 1.5 Diesel DLSX,2009,200000,176000,Diesel,Individual,Manual,Second Owner,17.0,1461,66.0,5,156.9064,2000.0
1286,Tata Indigo CS LX (TDI) BS III,2013,200000,150000,Diesel,Individual,Manual,First Owner,19.09,1396,69.0,5,135.0,2500.0
1287,Maruti Omni E MPI STD BS IV,2016,220000,90000,Petrol,Individual,Manual,First Owner,16.8,796,34.2,8,59.0,2500.0
1288,Volkswagen Vento 1.6 Highline,2014,500000,70000,Petrol,Individual,Manual,Second Owner,15.04,1598,103.2,5,153.0,3800.0
1289,Mahindra Renault Logan 1.5 DLX Diesel,2007,175000,99000,Diesel,Individual,Manual,Second Owner,19.2,1461,65.0,5,156.9064,2000.0
1290,Tata Tiago 1.2 Revotron XZ,2018,450000,5000,Petrol,Individual,Manual,First Owner,23.84,1199,84.0,5,114.0,3500.0
1291,Chevrolet Optra Magnum 2.0 LT,2008,210000,90000,Diesel,Individual,Manual,Fourth & Above Owner,16.52,1991,123.7,5,305.0,2000.0
1292,Tata Indica V2 DLS TC,2006,110000,88000,Diesel,Individual,Manual,Second Owner,16.8,1405,62.0,5,122.583125,2500.0
1293,Maruti Swift Dzire VDI,2015,480000,30000,Diesel,Individual,Manual,First Owner,26.59,1248,74.0,5,190.0,2000.0
1294,Maruti Swift Dzire AMT ZDI,2016,650000,50000,Diesel,Individual,Automatic,Second Owner,26.59,1248,74.0,5,190.0,2000.0
1295,Maruti Swift Dzire VDI,2013,480000,80000,Diesel,Individual,Manual,First Owner,23.4,1248,74.0,5,190.0,2000.0
1296,Hyundai i20 Asta Option 1.4 CRDi,2016,700000,40000,Diesel,Individual,Manual,First Owner,22.54,1396,88.73,5,219.7,1500.0
1297,Maruti Ertiga VDI,2015,650000,110000,Diesel,Individual,Manual,Third Owner,20.77,1248,88.76,7,200.0,1750.0
1298,Hyundai Creta 1.6 CRDi SX Plus Dual Tone,2015,1300000,48000,Diesel,Individual,Manual,Second Owner,19.67,1582,126.2,5,259.9,1900.0
1299,Volkswagen Jetta 2.0L TDI Highline AT,2016,1350000,97000,Diesel,Individual,Automatic,First Owner,16.96,1968,138.03,5,320.0,1750.0
1300,Volkswagen Vento 1.5 TDI Highline AT,2016,1000000,60000,Diesel,Individual,Automatic,First Owner,22.15,1498,108.6,5,250.0,1500.0
1301,Mercedes-Benz M-Class ML 350 4Matic,2011,1700000,110000,Diesel,Individual,Automatic,Third Owner,0.0,2987,165.0,5,510.0,1600.0
1302,Toyota Yaris V CVT BSIV,2018,1080000,12800,Petrol,Individual,Automatic,First Owner,17.8,1496,105.5,5,140.0,4200.0
1303,Hyundai EON D Lite,2012,170000,40000,Petrol,Individual,Manual,First Owner,21.1,814,55.2,5,74.5,4000.0
1304,Maruti Swift DDiS VDI,2017,610000,49000,Diesel,Individual,Manual,First Owner,28.4,1248,74.0,5,190.0,2000.0
1305,Maruti Ritz VXi,2014,350000,25000,Petrol,Individual,Manual,First Owner,18.5,1197,85.8,5,114.0,4000.0
1306,Fiat Linea 1.3 Multijet Emotion,2015,700000,20000,Diesel,Individual,Manual,First Owner,20.4,1248,91.7,5,209.0,2000.0
1307,Volkswagen Polo 2015-2019 1.0 MPI Highline Plus,2018,678000,17000,Petrol,Individual,Manual,First Owner,18.78,999,75.0,5,95.0,3000.0
1308,Toyota Etios GD,2014,400000,120000,Diesel,Individual,Manual,Second Owner,23.59,1364,67.04,5,170.0,1800.0
1309,Hyundai i20 Magna,2010,300000,49000,Petrol,Individual,Manual,First Owner,18.5,1197,80.0,5,111.79581,4000.0
1310,Hyundai i20 2015-2017 Magna 1.2,2016,520000,29000,Petrol,Individual,Manual,First Owner,18.6,1197,81.83,5,114.7,4000.0
1311,Nissan Terrano XV D Premium AMT,2017,850000,55000,Diesel,Individual,Automatic,First Owner,19.61,1461,108.5,5,248.0,2250.0
1312,Tata Nexon 1.5 Revotorq XZ Plus,2017,830000,35000,Diesel,Individual,Manual,First Owner,21.5,1497,108.5,5,260.0,1500.0
1313,Datsun GO T Option BSIV,2018,430000,5000,Petrol,Individual,Manual,Second Owner,20.63,1198,67.0,5,104.0,4000.0
1314,Ford EcoSport 1.5 TDCi Platinum Edition BSIV,2017,850000,60000,Diesel,Individual,Manual,First Owner,22.77,1498,98.59,5,205.0,1750.0
1315,Maruti Swift Dzire ZXI,2017,650000,70000,Petrol,Individual,Manual,First Owner,20.85,1197,83.14,5,115.0,4000.0
1316,Hyundai Verna CRDi,2008,120000,120000,Diesel,Individual,Manual,Second Owner,16.8,1493,110.0,5,235.3596,1900.0
1317,Mahindra TUV 300 T8,2016,730000,65100,Diesel,Individual,Manual,Second Owner,18.49,1493,100.0,7,240.0,1600.0
1318,Maruti Ignis 1.2 AMT Delta BSIV,2019,525000,20000,Petrol,Individual,Automatic,First Owner,20.89,1197,81.8,5,113.0,4200.0
1319,Hyundai i20 Active 1.4 SX,2015,600000,108000,Diesel,Individual,Manual,First Owner,21.19,1396,88.73,5,220.0,1500.0
1320,Maruti Swift LXI,2019,500000,15000,Petrol,Individual,Manual,First Owner,21.21,1197,81.8,5,113.0,4200.0
1321,Hyundai Santro Xing GLS,2009,150000,77000,Petrol,Individual,Manual,First Owner,17.92,1086,62.1,5,96.1,3000.0
1322,Maruti Wagon R VXI BS IV,2015,409999,18500,Petrol,Individual,Manual,First Owner,20.51,998,67.04,5,90.0,3500.0
1323,Renault KWID RXT,2015,290000,15200,Petrol,Individual,Manual,First Owner,25.17,799,53.3,5,72.0,4386.0
1324,Honda Mobilio V i VTEC,2015,500000,35000,Petrol,Individual,Manual,First Owner,17.3,1497,117.3,7,145.0,4600.0
1325,Hyundai Verna 1.6 SX,2011,475000,80000,Diesel,Individual,Manual,First Owner,22.32,1582,126.32,5,259.8,1900.0
1326,Hyundai EON Era Plus,2013,190000,70000,Petrol,Individual,Manual,First Owner,21.1,814,55.2,5,74.5,4000.0
1327,Mahindra XUV500 W6 2WD,2014,750000,80000,Diesel,Individual,Manual,Second Owner,15.1,2179,140.0,7,330.0,1600.0
1328,Nissan Terrano XV 110 PS,2014,525000,120000,Diesel,Individual,Manual,Second Owner,19.01,1461,108.5,5,248.0,2250.0
1329,Chevrolet Cruze LTZ,2012,495000,82000,Diesel,Individual,Manual,Third Owner,17.3,1998,163.7,5,380.0,2000.0
1330,Honda City 1.5 V AT,2010,321000,60000,Petrol,Individual,Automatic,Second Owner,16.8,1497,118.0,5,146.0,4800.0
1331,Toyota Etios Liva 1.2 V Dual Tone,2017,585000,50000,Petrol,Individual,Manual,First Owner,17.71,1197,78.9,5,104.0,3100.0
1332,Ford Figo Diesel EXI,2011,225000,70000,Diesel,Individual,Manual,First Owner,20.0,1399,68.0,5,160.0,2000.0
1333,Honda Amaze E i-DTEC,2017,500000,70000,Diesel,Individual,Manual,First Owner,25.8,1498,98.6,5,200.0,1750.0
1334,Hyundai i20 1.4 CRDi Asta,2011,350000,90000,Diesel,Individual,Manual,Third Owner,23.0,1396,90.0,5,219.66895999999997,1750.0
1335,Maruti Ertiga SHVS LDI Option,2016,756000,70000,Diesel,Individual,Manual,Second Owner,24.52,1248,88.5,7,200.0,1750.0
1336,Maruti Alto 800 VXI,2014,240000,50000,Petrol,Individual,Manual,First Owner,22.74,796,47.3,5,69.0,3500.0
1337,Maruti Omni 8 Seater BSII,2012,80000,120000,Petrol,Individual,Manual,Second Owner,19.7,796,35.0,8,59.820564999999995,3000.0
1338,Hyundai i20 Active S Petrol,2019,800000,5000,Petrol,Individual,Manual,First Owner,17.19,1197,81.86,5,114.73,4000.0
1339,Tata Hexa XE,2018,1250000,25000,Diesel,Individual,Manual,First Owner,17.6,2179,147.94,7,320.0,1500.0
1340,Mahindra Scorpio VLS 2.2 mHawk,2009,320000,80000,Diesel,Individual,Manual,Third Owner,12.05,2179,120.0,7,290.0,1800.0
1341,Hyundai Grand i10 Sportz,2017,509999,25000,Petrol,Individual,Manual,First Owner,18.9,1197,82.0,5,114.0,4000.0
1342,Maruti Alto LXi,2008,110000,80000,Petrol,Individual,Manual,Second Owner,19.7,796,46.3,5,62.0,3000.0
1343,Volkswagen Ameo 1.5 TDI Comfortline,2017,555000,52000,Diesel,Individual,Manual,First Owner,21.66,1498,108.62,5,250.0,1500.0
1344,Mahindra KUV 100 mFALCON D75 K6 Plus,2016,375000,80000,Diesel,Individual,Manual,First Owner,25.32,1198,77.0,6,190.0,1750.0
1345,Maruti Swift VDI BSIV W ABS,2011,290000,77000,Diesel,Individual,Manual,Second Owner,19.369999999999997,1248,81.86,5,160.0,2000.0
1346,Honda WR-V i-VTEC VX,2017,720000,30000,Petrol,Individual,Manual,First Owner,17.5,1199,88.7,5,110.0,4800.0
1347,Maruti Ertiga SHVS ZDI Plus,2017,800000,70000,Diesel,Individual,Manual,First Owner,24.52,1248,88.5,7,200.0,1750.0
1348,Tata New Safari DICOR 2.2 VX 4x2 BS IV,2011,240000,120000,Diesel,Individual,Manual,First Owner,13.93,2179,138.1,7,320.0,1700.0
1349,Ford Figo 1.5D Trend MT,2016,377000,80000,Diesel,Individual,Manual,First Owner,25.83,1498,99.0,5,215.0,1750.0
1350,Maruti Ertiga VXI,2013,450000,140000,Petrol,Individual,Manual,First Owner,16.02,1373,93.7,7,130.0,4000.0
1351,Hyundai Verna Xi (Petrol),2008,160000,100000,Petrol,Individual,Manual,Fourth & Above Owner,13.9,1599,103.2,5,146.11908499999998,3000.0
1352,Hyundai Xcent 1.2 VTVT E,2019,525000,100000,Petrol,Individual,Manual,First Owner,20.14,1197,81.86,5,113.75,4000.0
1353,Toyota Innova 2.5 G (Diesel) 7 Seater BS IV,2011,550000,168000,Diesel,Individual,Manual,Second Owner,12.8,2494,102.0,8,200.05565999999996,1400.0
1354,Chevrolet Cruze LTZ,2010,270000,120000,Diesel,Individual,Manual,Third Owner,18.3,1991,147.9,5,327.0,2600.0
1355,Toyota Etios GD,2016,570000,145000,Diesel,Individual,Manual,Second Owner,23.59,1364,67.05,5,170.0,1800.0
1356,Ford Figo Diesel Titanium,2011,225000,90000,Diesel,Individual,Manual,Second Owner,20.0,1399,68.0,5,160.0,2000.0
1357,Hyundai Xcent 1.2 VTVT S,2019,590000,90000,Petrol,Individual,Manual,First Owner,20.14,1197,81.86,5,113.75,4000.0
1358,Jeep Compass 2.0 Longitude Option BSIV,2018,1675000,80000,Diesel,Individual,Manual,First Owner,17.1,1956,170.0,5,350.0,1750.0
1359,Ford Aspire Titanium BSIV,2019,800000,33000,Petrol,Dealer,Manual,First Owner,19.4,1194,94.93,5,120.0,4250.0
1360,Chevrolet Sail 1.2 LS ABS,2014,450000,13500,Petrol,Individual,Manual,First Owner,18.2,1199,82.4,5,108.5,5000.0
1361,Tata Indigo LX,2012,300000,80000,Diesel,Individual,Manual,First Owner,17.0,1405,70.0,5,132.389775,2500.0
1362,Hyundai i20 1.2 Spotz,2017,645000,20000,Petrol,Individual,Manual,First Owner,18.6,1197,81.83,5,114.7,4000.0
1363,Maruti Swift Dzire VDI,2013,520000,58000,Diesel,Individual,Manual,First Owner,23.4,1248,74.0,5,190.0,2000.0
1364,Honda City i VTEC V,2015,700000,30000,Petrol,Individual,Manual,First Owner,17.4,1497,117.3,5,145.0,4600.0
1365,Maruti 800 AC,2000,45000,50000,Petrol,Individual,Manual,Second Owner,16.1,796,37.0,4,59.0,2500.0
1366,Ford Figo Aspire 1.5 TDCi Ambiente,2016,459999,73000,Diesel,Individual,Manual,First Owner,25.83,1498,99.0,5,215.0,1750.0
1367,Maruti Ritz VDi,2014,325000,90000,Diesel,Individual,Manual,Second Owner,23.2,1248,73.94,5,190.0,2000.0
1368,Maruti Wagon R VXI BS IV,2015,350000,50000,Petrol,Individual,Manual,Second Owner,20.51,998,67.04,5,90.0,3500.0
1369,Hyundai Verna 1.6 CRDI,2011,440000,80000,Diesel,Individual,Manual,Third Owner,22.32,1582,126.3,5,259.9,1900.0
1370,Hyundai i20 1.4 CRDi Magna,2011,320000,70000,Diesel,Individual,Manual,Second Owner,21.9,1396,90.0,5,219.66895999999997,1750.0
1371,Chevrolet Spark 1.0 LS,2011,169000,41000,Petrol,Individual,Manual,First Owner,18.0,995,62.0,5,90.3,4200.0
1372,Volkswagen Polo Petrol Comfortline 1.2L,2013,350000,50000,Petrol,Individual,Manual,Fourth & Above Owner,16.47,1198,73.9,5,110.0,3750.0
1373,Ford Classic 1.4 Duratorq Titanium,2014,350000,113226,Diesel,Dealer,Manual,First Owner,19.68,1399,67.0,5,160.0,2000.0
1374,Ford Figo Diesel Celebration Edition,2013,310000,90000,Diesel,Individual,Manual,Second Owner,20.0,1399,68.1,5,160.0,2000.0
1375,Maruti Swift 1.3 VXi,2007,150000,70000,Petrol,Individual,Manual,Third Owner,19.369999999999997,1248,81.86,5,160.0,2000.0
1376,Mahindra Scorpio M2DI,2010,420000,160500,Diesel,Individual,Manual,Fourth & Above Owner,13.5,2179,115.0,5,277.5,1700.0
1377,Maruti Ciaz AT ZXi,2015,685000,30000,Petrol,Individual,Automatic,First Owner,19.12,1373,91.1,5,130.0,4000.0
1378,Renault Duster 4x4,2014,560000,132000,Diesel,Individual,Manual,Second Owner,19.72,1461,108.45,5,245.0,1750.0
1379,Maruti Swift VDI,2013,470000,120000,Diesel,Individual,Manual,Third Owner,22.9,1248,74.0,5,190.0,2000.0
1380,Hyundai Verna Transform VTVT,2011,380000,80000,Petrol,Individual,Manual,Second Owner,16.2,1599,103.2,5,146.11908499999998,3000.0
1381,Mahindra Scorpio 1.99 S6 Plus,2015,670000,57000,Diesel,Individual,Manual,Second Owner,15.4,1997,120.0,7,280.0,1800.0
1382,Hyundai Verna 1.6 VTVT SX,2016,749000,25000,Petrol,Individual,Manual,First Owner,17.01,1591,121.3,5,154.9,4200.0
1383,Hyundai Creta 1.6 CRDi SX Option,2015,899000,80000,Diesel,Individual,Manual,Second Owner,19.67,1582,126.2,5,259.9,1900.0
1384,Chevrolet Optra Magnum 2.0 LS BSIII,2011,290000,88000,Diesel,Individual,Manual,Third Owner,16.52,1991,123.7,5,305.0,2000.0
1385,Toyota Innova 2.5 VX (Diesel) 7 Seater,2014,869999,217000,Diesel,Individual,Manual,Second Owner,12.99,2494,100.6,7,200.0,1400.0
1386,Datsun GO Plus A,2015,350000,60000,Petrol,Individual,Manual,First Owner,20.62,1198,67.0,7,104.0,4000.0
1387,Maruti Swift Dzire VXI,2017,500000,43000,Petrol,Individual,Manual,First Owner,20.85,1197,83.14,5,115.0,4000.0
1388,Skoda Rapid 1.5 TDI AT Ambition Plus,2014,400000,77000,Diesel,Individual,Automatic,Second Owner,21.66,1498,103.6,5,250.0,1500.0
1389,Maruti Alto 800 LXI,2015,220000,40000,Petrol,Individual,Manual,Second Owner,22.74,796,47.3,5,69.0,3500.0
1390,Chevrolet Enjoy TCDi LS 8 Seater,2014,190000,139000,Diesel,Individual,Manual,Second Owner,18.2,1248,73.8,8,172.5,1750.0
1391,Hyundai Grand i10 Magna,2016,400000,80000,Petrol,Individual,Manual,First Owner,18.9,1197,82.0,5,114.0,4000.0
1392,Chevrolet Beat Diesel LT Option,2014,170000,76000,Diesel,Individual,Manual,Second Owner,25.44,936,56.3,5,142.5,1750.0
1393,Maruti 800 AC BSIII,2007,60000,62000,Petrol,Individual,Manual,Second Owner,16.1,796,37.0,4,59.0,2500.0
1394,Tata New Safari 4X2,2007,300000,110000,Petrol,Individual,Manual,Second Owner,12.0,2092,127.0,7,196.13299999999998,3750.0
1395,Chevrolet Spark 1.0 LT,2012,125000,40000,Petrol,Individual,Manual,Second Owner,16.2,995,62.1,5,90.3,4200.0
1396,Tata Indica Vista Aqua 1.3 Quadrajet (ABS),2013,130000,120000,Diesel,Individual,Manual,Second Owner,19.369999999999997,1248,81.86,5,160.0,2000.0
1397,Mahindra XUV500 W6 2WD,2012,500000,1500000,Diesel,Individual,Manual,First Owner,15.1,2179,140.0,7,330.0,1600.0
1398,Maruti Alto LX,2011,170000,70000,Petrol,Individual,Manual,Third Owner,19.7,796,46.3,5,62.0,3000.0
1399,Maruti Swift Dzire LDi,2012,310000,77000,Diesel,Individual,Manual,Second Owner,19.3,1248,73.9,5,190.0,2000.0
1400,Chevrolet Spark 1.0 LT,2011,130000,110000,Petrol,Individual,Manual,Second Owner,18.0,995,62.0,5,90.3,4200.0
1401,Maruti Wagon R VXI Optional,2016,465000,20000,Petrol,Individual,Manual,First Owner,20.51,998,67.04,5,90.0,3500.0
1402,Mahindra Jeep MM 540,1995,160000,90000,Diesel,Individual,Manual,Third Owner,19.369999999999997,1248,81.86,5,160.0,2000.0
1403,Mercedes-Benz E-Class E270 CDI,2005,800000,120005,Diesel,Individual,Automatic,Second Owner,11.0,2987,198.5,5,456.00922499999996,1400.0
1404,Maruti Alto K10 Knightracer,2012,260000,16830,Petrol,Individual,Manual,First Owner,20.2,998,67.1,5,90.0,3500.0
1405,Mahindra Bolero 2011-2019 DI NON AC BS III SILVER,2013,500000,70000,Diesel,Individual,Manual,First Owner,15.96,2523,63.0,9,180.0,1440.0
1406,Renault KWID 1.0 RXT 02 Anniversary Edition,2017,325000,38000,Petrol,Individual,Manual,First Owner,23.01,999,67.0,5,91.0,4250.0
1407,Mahindra Bolero 2011-2019 DI NON AC BS III White,2013,400000,80000,Diesel,Individual,Manual,First Owner,15.96,2523,63.0,9,180.0,1440.0
1408,Toyota Fortuner 2.8 4WD MT BSIV,2018,3200000,50000,Diesel,Individual,Manual,First Owner,14.24,2755,174.5,7,420.0,1400.0
1409,Tata Indica V2 DLE BSIII,2007,200000,50000,Diesel,Individual,Manual,First Owner,17.88,1396,52.8,5,85.0,2500.0
1410,Mahindra Quanto C2,2013,450000,52000,Diesel,Individual,Manual,First Owner,17.21,1493,100.0,7,240.0,1600.0
1411,Tata Indigo V BSIII,2012,229999,50000,Diesel,Individual,Manual,First Owner,17.0,1405,70.0,5,132.389775,2500.0
1412,Hyundai EON Magna Plus,2016,340000,30000,Petrol,Individual,Manual,First Owner,21.1,814,55.2,5,74.5,4000.0
1413,Mahindra Bolero 2011-2019 SLE BSIII,2014,550000,103000,Diesel,Individual,Manual,First Owner,15.96,2523,62.1,7,195.0,1400.0
1414,Volkswagen Jetta 1.6 Trendline,2010,225000,80000,Petrol,Individual,Manual,Second Owner,14.0,1595,102.0,5,147.09975,3800.0
1415,Tata Indigo CS eLX BS IV,2012,259000,35000,Diesel,Individual,Manual,First Owner,23.03,1396,69.0,5,140.0,1800.0
1416,Toyota Fortuner 2.8 4WD AT BSIV,2018,3200000,60000,Diesel,Individual,Automatic,First Owner,15.04,2755,174.5,7,450.0,1600.0
1417,Mahindra XUV500 W10 1.99 mHawk,2018,1400000,30000,Diesel,Individual,Manual,First Owner,16.0,1997,140.0,7,320.0,1600.0
1418,Ford Figo 1.5P Titanium AT,2015,416000,40000,Petrol,Individual,Automatic,First Owner,17.01,1499,110.4,5,136.0,4250.0
1419,Tata Manza ELAN Quadrajet BS III,2011,250000,70000,Diesel,Individual,Manual,First Owner,19.0,1248,90.0,5,200.0,1750.0
1420,Tata Manza Aura (ABS) Quadrajet BS IV,2010,210000,120000,Diesel,Individual,Manual,First Owner,21.12,1248,88.8,5,200.0,1750.0
1421,Mahindra Scorpio VLX 2WD BSIII,2008,290000,120000,Diesel,Individual,Manual,Second Owner,12.05,2179,120.0,8,290.0,1800.0
1422,Tata Indigo CS eLS BS IV,2012,220000,90000,Diesel,Individual,Manual,First Owner,23.03,1396,69.0,5,140.0,1800.0
1423,Maruti Omni E MPI STD BS IV,2018,260000,30000,Petrol,Individual,Manual,First Owner,16.8,796,34.2,8,59.0,2500.0
1424,Hyundai Creta 1.4 CRDi S,2018,1050000,70000,Diesel,Individual,Manual,First Owner,21.38,1396,88.7,5,219.7,1500.0
1425,Maruti Swift VXI Optional,2016,550000,20000,Petrol,Individual,Manual,First Owner,20.4,1197,81.8,5,113.0,4200.0
1426,Tata Indigo CS LX (TDI) BS-III,2017,450000,70000,Diesel,Individual,Manual,First Owner,19.09,1405,69.01,5,135.0,2500.0
1427,Honda City i VTEC VX,2016,773000,65000,Petrol,Individual,Manual,First Owner,17.8,1497,117.3,5,145.0,4600.0
1428,Tata Tiago 1.2 Revotron XZ,2017,450000,25000,Petrol,Individual,Manual,First Owner,23.84,1199,84.0,5,114.0,3500.0
1429,Maruti Eeco 5 Seater AC BSIV,2019,409999,10000,Petrol,Individual,Manual,First Owner,15.37,1196,73.0,5,101.0,3000.0
1430,Nissan Teana XL,2014,600000,80000,Petrol,Individual,Automatic,Second Owner,11.07,2496,179.5,5,228.0,4400.0
1431,Chevrolet Beat LT,2010,250000,63000,Petrol,Individual,Manual,First Owner,18.6,1199,79.4,5,108.0,4400.0
1432,Tata Indica V2 DLS TC,2008,70000,100000,Diesel,Individual,Manual,First Owner,16.8,1405,62.0,5,122.583125,2500.0
1433,Maruti Wagon R VXI BS IV,2018,430000,16589,Petrol,Trustmark Dealer,Manual,First Owner,20.51,998,67.04,5,90.0,3500.0
1434,Honda City i VTEC V,2016,675000,53201,Petrol,Trustmark Dealer,Manual,Second Owner,17.8,1497,117.3,5,145.0,4600.0
1435,Maruti Baleno Delta,2017,570000,25272,Petrol,Trustmark Dealer,Manual,First Owner,21.01,1197,81.8,5,113.0,4200.0
1436,Maruti Vitara Brezza ZDi Plus,2017,850000,53619,Diesel,Trustmark Dealer,Manual,First Owner,24.3,1248,88.5,5,200.0,1750.0
1437,Ford Ecosport 1.5 Petrol Ambiente,2018,640000,6001,Petrol,Dealer,Manual,First Owner,15.9,1496,120.69,5,149.0,4500.0
1438,Tata Indigo CS LS (TDI) BS-III,2013,250000,80000,Diesel,Individual,Manual,First Owner,19.09,1405,69.01,5,135.0,2500.0
1439,Renault Duster 110PS Diesel RxZ,2018,1250000,12000,Diesel,Individual,Manual,First Owner,19.6,1461,108.45,5,245.0,1750.0
1440,Hyundai i20 2015-2017 Asta Option 1.4 CRDi,2017,750000,40000,Diesel,Individual,Manual,Second Owner,22.54,1396,88.73,5,219.7,1500.0
